tare,weight,time,raw pressure,measured pressure,,
2.188,6.526,60.003,0.400,0.83536,,
2.188,6.541,60.005,0.400,0.83536,,
2.189,6.542,59.999,0.400,0.83536,,
2.189,6.536,60.006,0.400,0.83536,,
10.335,38.810,240.012,0.500,2.52145,,
10.335,38.708,240.040,0.500,2.52145,,
10.334,38.631,240.003,0.500,2.52145,,
10.334,38.671,240.016,0.500,2.52145,,
10.351,42.096,180.013,0.600,4.79844,,
10.336,42.086,180.000,0.600,4.79844,,
10.335,42.282,180.028,0.600,4.79844,,
10.334,42.139,180.033,0.600,4.79844,,
10.338,43.900,150.003,0.700,7.66633,,
10.336,44.046,150.031,0.700,7.66633,,
10.335,44.162,150.015,0.700,7.66633,,
10.339,44.204,150.000,0.700,7.66633,,
10.338,42.775,119.998,0.800,11.12512,,
10.337,42.766,120.020,0.800,11.12512,,
10.336,42.786,120.030,0.800,11.12512,,
10.335,42.789,120.029,0.800,11.12512,,
10.335,41.858,100.037,0.900,15.17481,,
10.338,41.481,100.020,0.900,15.17481,,
10.341,41.832,100.018,0.900,15.17481,,
10.335,41.815,100.029,0.900,15.17481,,
10.338,46.474,100.012,1.000,19.8154,,
10.335,46.411,100.023,1.000,19.8154,,
10.337,46.329,100.037,1.000,19.8154,,
10.336,46.217,100.021,1.000,19.8154,,
10.341,46.623,90.023,1.100,25.04689,,
10.334,46.645,90.002,1.100,25.04689,,
10.335,46.716,90.035,1.100,25.04689,,
10.335,46.709,90.017,1.100,25.04689,,
10.335,48.668,85.000,1.200,30.86928,,
10.339,48.773,85.013,1.200,30.86928,,
10.338,48.688,85.021,1.200,30.86928,,
10.335,48.598,85.020,1.200,30.86928,,
